review,rating,helpful_count,date,brand_reply,reply_date,sentiment,product,theme,month
I'm a beginner let's see what happens next,3,0,22-06-2026 15:08,Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.,23-06-2026 12:37,Neutral,Dot & Key App,App Experience,2026-06
good,4,0,22-06-2026 13:45,"Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.

",22-06-2026 15:05,Positive,Dot & Key App,General,2026-06
good,5,0,22-06-2026 11:06,Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.,22-06-2026 12:42,Positive,Dot & Key App,General,2026-06
gud 👌🏻,5,0,22-06-2026 09:00,Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.,22-06-2026 12:42,Positive,Dot & Key App,General,2026-06
Very disappointing experience with Dot & Key. Two of the products are used and damaged products I ask for a refund and return they are making excuses regarding hygiene you guys were hygienic. How did I get the used i and damaged products give me the refund or return it i don't know any i don't pay for used product 😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡,1,0,22-06-2026 08:48,"Hi,
Please accept our sincere apology. We are very sorry to know about your experience with us. Please let us know your order number at care@dotandkey.com and we promise to get this resolved quickly.",22-06-2026 12:43,Negative,Dot & Key App,"App Experience, Customer Service, Product Quality",2026-06
delivery takes too much time,3,0,22-06-2026 08:20,"Hi,
Please accept our sincere apology. We are very sorry to know about your experience with us. Please let us know your order number at care@dotandkey.com and we promise to get this resolved quickly.",22-06-2026 12:41,Neutral,Dot & Key App,Delivery & Orders,2026-06
I love dot and key products....they changed my skin amazingly beautiful,5,0,22-06-2026 06:14,Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.,22-06-2026 12:40,Positive,Dot & Key App,Product Quality,2026-06
It's a too much good brand 🤌🏻💗,5,0,22-06-2026 05:18,Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.,22-06-2026 12:40,Positive,Dot & Key App,General,2026-06
nice products,5,0,22-06-2026 05:00,Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.,22-06-2026 12:40,Positive,Dot & Key App,Product Quality,2026-06
best result,5,0,22-06-2026 03:26,Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.,22-06-2026 12:39,Positive,Dot & Key App,General,2026-06
nice product,4,0,21-06-2026 17:53,Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.,22-06-2026 12:39,Positive,Dot & Key App,Product Quality,2026-06
very good,5,0,21-06-2026 17:38,Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.,22-06-2026 12:39,Positive,Dot & Key App,General,2026-06
very good 👍🏻😊,5,0,21-06-2026 11:19,Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.,22-06-2026 12:39,Positive,Dot & Key App,General,2026-06
loved it,5,0,21-06-2026 10:45,Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.,22-06-2026 12:38,Positive,Dot & Key App,General,2026-06
I love it,5,0,21-06-2026 06:03,Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.,22-06-2026 12:38,Positive,Dot & Key App,General,2026-06
best products,5,0,21-06-2026 04:32,Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.,22-06-2026 12:38,Positive,Dot & Key App,Product Quality,2026-06
perfect 👍,1,0,21-06-2026 04:08,,,Negative,Dot & Key App,General,2026-06
😊 good,5,0,20-06-2026 19:59,Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.,22-06-2026 12:37,Positive,Dot & Key App,General,2026-06
I love dot & key products 😍 💕,5,0,20-06-2026 17:03,Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.,22-06-2026 12:37,Positive,Dot & Key App,Product Quality,2026-06
nice,5,0,20-06-2026 16:59,Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.,22-06-2026 12:37,Positive,Dot & Key App,General,2026-06
quality purachase,5,0,20-06-2026 16:02,Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.,22-06-2026 12:37,Positive,Dot & Key App,General,2026-06
it has no harmful effects on the face it is useful product,5,0,20-06-2026 13:20,Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.,22-06-2026 12:37,Positive,Dot & Key App,Product Quality,2026-06
they have dont fraud to me... and providing me no solution for it ..packaging was same but seal broken and one stone some other company face wash inside it . its not acceptable . you are saying on chat u sell only dot nd key products.. thats ur concern.. from my side its a fraud . i didnt.get my ordered for which i paid for . disgusting,1,0,20-06-2026 10:07,"Hi,
Please accept our sincere apology. We are very sorry to know about your experience with us. Please let us know your order number at care@dotandkey.com and we promise to get this resolved quickly. Team Dot&Key.",20-06-2026 10:22,Negative,Dot & Key App,"Delivery & Orders, Product Quality",2026-06
best one,5,0,20-06-2026 07:19,Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.,20-06-2026 08:44,Positive,Dot & Key App,General,2026-06
good choice,5,0,20-06-2026 07:07,Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.,20-06-2026 08:43,Positive,Dot & Key App,General,2026-06
it is soo good,5,0,20-06-2026 06:49,Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.,20-06-2026 08:43,Positive,Dot & Key App,General,2026-06
good 😊,5,0,20-06-2026 04:54,Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.,20-06-2026 08:43,Positive,Dot & Key App,General,2026-06
good,5,0,19-06-2026 18:31,Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.,20-06-2026 08:43,Positive,Dot & Key App,General,2026-06
all products best result 👍,5,0,19-06-2026 17:42,Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.,20-06-2026 08:43,Positive,Dot & Key App,Product Quality,2026-06
good,4,0,19-06-2026 16:34,Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.,20-06-2026 08:42,Positive,Dot & Key App,General,2026-06
excellent,5,0,19-06-2026 12:21,Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.,20-06-2026 08:42,Positive,Dot & Key App,General,2026-06
so good!,5,0,19-06-2026 10:03,Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.,20-06-2026 08:42,Positive,Dot & Key App,General,2026-06
good product i love this all products,5,0,19-06-2026 08:45,"Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.

",19-06-2026 08:53,Positive,Dot & Key App,Product Quality,2026-06
very nice sunscreen,5,0,19-06-2026 07:07,"Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.

",19-06-2026 08:17,Positive,Dot & Key App,Product Quality,2026-06
products worth the money and the results and best skincare products for all types of skins just Love it,5,0,19-06-2026 05:51,"Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.

",19-06-2026 08:17,Positive,Dot & Key App,Product Quality,2026-06
good but only for my family not me,4,0,19-06-2026 05:19,"Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.

",19-06-2026 08:17,Positive,Dot & Key App,General,2026-06
bestesttttt,5,0,18-06-2026 19:37,"Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.

",19-06-2026 08:17,Positive,Dot & Key App,General,2026-06
good,4,0,18-06-2026 19:11,"Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.

",19-06-2026 08:16,Positive,Dot & Key App,General,2026-06
No coupons available for more discount as they provided earlier purchases.,2,0,18-06-2026 16:26,"Hi, please share the details of your issue by writing to us at care@dotandkey.com so that we can look into it & assist you in the best possible way. Team Dot&Key.",19-06-2026 08:19,Negative,Dot & Key App,General,2026-06
best products,5,0,18-06-2026 15:50,"Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.

",19-06-2026 08:16,Positive,Dot & Key App,Product Quality,2026-06
best app,5,0,18-06-2026 14:22,"Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.

",19-06-2026 08:16,Positive,Dot & Key App,App Experience,2026-06
myyy favv skincare company!!🎀😭,5,0,18-06-2026 11:28,"Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.

",18-06-2026 11:45,Positive,Dot & Key App,Product Quality,2026-06
good,5,0,18-06-2026 11:15,"Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.

",18-06-2026 11:22,Positive,Dot & Key App,General,2026-06
it really benefits your skin and making it more brighter,5,0,18-06-2026 09:32,"Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.

",18-06-2026 11:21,Positive,Dot & Key App,Product Quality,2026-06
The best skincare brand for me I love the sunscreen,5,0,18-06-2026 09:08,"Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.

",18-06-2026 11:21,Positive,Dot & Key App,Product Quality,2026-06
product's I love it 😍,5,0,18-06-2026 08:16,"Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.

",18-06-2026 11:21,Positive,Dot & Key App,Product Quality,2026-06
i love dot and key,5,0,18-06-2026 07:28,"Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.

",18-06-2026 11:21,Positive,Dot & Key App,General,2026-06
BEST,5,0,18-06-2026 05:45,"Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.

",18-06-2026 11:21,Positive,Dot & Key App,General,2026-06
very nice,5,0,18-06-2026 01:16,"Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.

",18-06-2026 11:15,Positive,Dot & Key App,General,2026-06
very good 💯,4,0,17-06-2026 17:24,"Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.
",18-06-2026 11:15,Positive,Dot & Key App,General,2026-06
product are good,3,0,17-06-2026 12:30,"Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot&Key.
",18-06-2026 11:17,Neutral,Dot & Key App,Product Quality,2026-06
best in The world,5,0,17-06-2026 06:54,Thank you for taking the time to write this review. Your kind words encourage us greatly. Happy shopping! Team Dot and Key,17-06-2026 06:58,Positive,Dot & Key App,General,2026-06
best skin care App,5,0,17-06-2026 05:55,Thank you for taking the time to write this review. Your kind words encourage us greatly. Happy shopping!,17-06-2026 06:27,Positive,Dot & Key App,"App Experience, Product Quality",2026-06
my most fav product,5,0,17-06-2026 04:15,"Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer!

",17-06-2026 06:28,Positive,Dot & Key App,Product Quality,2026-06
it is very nice 🤠 app 😁,5,0,17-06-2026 04:02,"Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer!

",17-06-2026 06:28,Positive,Dot & Key App,App Experience,2026-06
🤩,5,0,17-06-2026 03:36,"Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer!

",17-06-2026 06:29,Positive,Dot & Key App,General,2026-06
nice 🙂,4,0,16-06-2026 22:51,"Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer!

",17-06-2026 06:29,Positive,Dot & Key App,General,2026-06
bahut badhiya product Hai dot & key ke,5,0,16-06-2026 16:06,"Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer! Team Dot and key

",17-06-2026 06:29,Positive,Dot & Key App,Product Quality,2026-06
nice 👍 dot &key beautiful product,5,0,16-06-2026 09:11,Thank you for your feedback! We're delighted to know you had a great experience. Your support means a lot to us and motivates us to keep improving. - Team Dot & Key,16-06-2026 10:19,Positive,Dot & Key App,Product Quality,2026-06
As always products and customer service is good 5 star ratting❤️,5,0,16-06-2026 08:25,Thank you for taking the time to write this review. Your kind words encourage us greatly. Happy shopping! - Team Dot & Key,16-06-2026 10:18,Positive,Dot & Key App,"Customer Service, Product Quality",2026-06
its really awesome,5,0,16-06-2026 07:58,Thank you for taking the time to write this review. Your kind words encourage us greatly. Happy shopping! - Team Dot & Key,16-06-2026 10:18,Positive,Dot & Key App,General,2026-06
Good,5,0,16-06-2026 07:21,Thank you for taking the time to write this review. Your kind words encourage us greatly. Happy shopping! - Team Dot & Key,16-06-2026 10:17,Positive,Dot & Key App,General,2026-06
they dont get refund timely,1,0,16-06-2026 06:56,We apologize for the disappointment. Please share the order details with us at care@dotandkey.com. We will get in touch with you and do the needful. Thanks.,16-06-2026 10:10,Negative,Dot & Key App,Customer Service,2026-06
good product,5,0,16-06-2026 06:54,Thank you for taking the time to write this review. Your kind words encourage us greatly. Happy shopping! - Team Dot & Key,16-06-2026 10:17,Positive,Dot & Key App,Product Quality,2026-06
"awesome product delivered and their quality is also superb, suits on every skin🥰",5,0,16-06-2026 06:24,Your support motivates us to keep improving and delivering the best experience possible. We're delighted to know that you love our products. Thank you for being a valued customer!,16-06-2026 06:34,Positive,Dot & Key App,Product Quality,2026-06
good product light weight,4,0,16-06-2026 04:28,Thank you for taking the time to write this review. Your kind words encourage us greatly. Happy shopping! - Team Dot & Key,16-06-2026 05:53,Positive,Dot & Key App,Product Quality,2026-06
Disappointed with the service. I ordered two products and I wanted to cancel the 1st order but neither dot and key nor delivery agent cancelled the order. Delivery agent told me that he can't cancel the order as there is no option for cancellation. I called customer service they told not to pick up the call but the delivery agent called me to take the product when I didn't not pick up the call he had given the product to other person without permission . Do choose the delivery partner wisely.,1,0,16-06-2026 02:22,"Hi,
Please accept our sincere apology. We are very sorry to know about your experience with us. Please let us know your order number at care@dotandkey.com and we promise to get this resolved quickly.",16-06-2026 05:51,Negative,Dot & Key App,"Delivery & Orders, App Experience, Customer Service, Product Quality",2026-06
good use full,5,0,15-06-2026 19:47,Thank you for your feedback! We're delighted to know you had a great experience. Your support means a lot to us and motivates us to keep improving. - Team Dot & Key,16-06-2026 05:54,Positive,Dot & Key App,General,2026-06
packing is always bad and donot provide much things,2,0,15-06-2026 06:57,"Hi,
Sorry to hear that! We request that you please help us with your order/shipment number at care@dotandkey.com. We will get back to you at the earliest.",15-06-2026 09:41,Negative,Dot & Key App,General,2026-06
nice experience,5,0,14-06-2026 16:42,Thank you for your feedback! We're delighted to know you had a great experience. Your support means a lot to us and motivates us to keep improving. - Team Dot & Key,15-06-2026 06:49,Positive,Dot & Key App,General,2026-06
"I am very satisfied with the Dot & Key product. The quality is excellent, easy to use, and it gives good results. I would definitely recommend it to others.",5,0,14-06-2026 12:35,"We are pleased that you enjoyed the app. If there is anything we can do for you, just let us know at care@dotandkey.com!
Have a wonderful day!",15-06-2026 06:48,Positive,Dot & Key App,Product Quality,2026-06
nice experience,5,0,14-06-2026 10:34,Thank you for your feedback! We're delighted to know you had a great experience. Your support means a lot to us and motivates us to keep improving. - Team Dot & Key,15-06-2026 06:49,Positive,Dot & Key App,General,2026-06
i am so happy this product,5,0,13-06-2026 18:26,"Thank you for your feedback! We're delighted to know you had a great experience. Your support means a lot to us and motivates us to keep improving. - Team Dot & Key
",15-06-2026 06:46,Positive,Dot & Key App,"App Experience, Product Quality",2026-06
It is nice app to buy the products...but iske updates bhut frequently aate hai ... I don't like this frequently update system,4,0,13-06-2026 07:29,"Thank you for your feedback! We're happy to hear you like the app. We understand your concern about frequent updates. We release them to improve the app's performance and experience. Your feedback is valuable, and we'll definitely take it into consideration. - Team Dot & Key
",13-06-2026 08:06,Positive,Dot & Key App,"App Experience, Product Quality",2026-06
awesome,5,0,13-06-2026 06:05,Thank you for your feedback! We're delighted to know you had a great experience. Your support means a lot to us and motivates us to keep improving. - Team Dot & Key,13-06-2026 08:06,Positive,Dot & Key App,General,2026-06
veeyyy good 👍,5,0,13-06-2026 01:10,Thank you for taking the time to write this review. Your kind words encourage us greatly. Happy shopping! - Team Dot & Key,13-06-2026 08:07,Positive,Dot & Key App,General,2026-06
good,5,0,12-06-2026 17:35,Thank you for your feedback! We're delighted to know you had a great experience. Your support means a lot to us and motivates us to keep improving. - Team Dot & Key,13-06-2026 08:07,Positive,Dot & Key App,General,2026-06
it's awesome 😎,5,0,12-06-2026 13:45,Thank you for taking the time to write this review. Your kind words encourage us greatly. Happy shopping! - Team Dot & Key,13-06-2026 08:07,Positive,Dot & Key App,General,2026-06
ok,5,0,12-06-2026 10:10,Thank you for your feedback! We're delighted to know you had a great experience. Your support means a lot to us and motivates us to keep improving. - Team Dot & Key,13-06-2026 08:07,Positive,Dot & Key App,General,2026-06
delivery agent make fools to customer,1,0,12-06-2026 10:03,"Hi, Please accept our sincere apology. We are very sorry to know about your experience with us. Please let us know your order number at care@dotandkey.com and we promise to get this resolved quickly. - Team Dot & Key",13-06-2026 08:07,Negative,Dot & Key App,"Delivery & Orders, Customer Service",2026-06
very good,4,0,12-06-2026 09:40,"Thanks for sharing your experience! We're glad to know that you enjoy using the app to purchase products. Your support means a lot to us, and we're committed to providing a great experience.
",13-06-2026 07:36,Positive,Dot & Key App,General,2026-06
very good products😊,5,0,12-06-2026 09:30,"Thank you for the wonderful feedback! ❤️ We're glad you're enjoying our products and appreciate you taking the time to share your experience. - Team Dot & Key

",13-06-2026 08:08,Positive,Dot & Key App,Product Quality,2026-06
delivery date so karna chahiye,4,0,12-06-2026 08:24,"We appreciate your feedback. Your concern regarding delivery timelines has been noted. Thank you for sharing your experience. - Team Dot & Key


",13-06-2026 08:08,Positive,Dot & Key App,Delivery & Orders,2026-06
good 👍🏻,5,0,12-06-2026 07:18,"We're thrilled to hear that you're enjoying the app! Thank you for your valuable feedback and for being a part of our community. Your support motivates us to keep improving. - Team Dot & Key


",13-06-2026 08:05,Positive,Dot & Key App,General,2026-06
very nice product,4,0,12-06-2026 05:51,"Thank you for your positive review!💕 We're happy to know that our products met your expectations. We look forward to serving you again - Team Dot & Key
",13-06-2026 08:05,Positive,Dot & Key App,Product Quality,2026-06
nice,5,0,12-06-2026 03:03,"Thanks for your feedback! We're glad you're having a great experience with the app. - Team Dot & Key
",13-06-2026 08:05,Positive,Dot & Key App,General,2026-06
really good,5,0,11-06-2026 16:21,Thank you for taking the time to write this review. Your kind words encourage us greatly. Happy shopping! - Team Dot & Key,13-06-2026 08:06,Positive,Dot & Key App,General,2026-06
excellent products,5,0,11-06-2026 15:13,"Thanks a lot for your support! We’re glad to have you with us and truly appreciate your positive words. - Team Dot & Key
",13-06-2026 08:09,Positive,Dot & Key App,Product Quality,2026-06
thank,5,0,11-06-2026 14:26,"We're thrilled to hear that you're enjoying the app! Thank you for your valuable feedback and for being a part of our community. Your support motivates us to keep improving. - Team Dot & Key
",13-06-2026 08:12,Positive,Dot & Key App,General,2026-06
simply awesome,4,0,11-06-2026 10:41,"Thank you for your lovely feedback! We’re glad to hear you had a great experience with us. Your appreciation means a lot and keeps us motivated to maintain and improve our service quality. - Team Dot & Key
",13-06-2026 08:16,Positive,Dot & Key App,General,2026-06
Good,4,0,11-06-2026 10:37,Thanks a lot for your support! We’re glad to have you with us and truly appreciate your positive words. - Team Dot & Key,13-06-2026 08:16,Positive,Dot & Key App,General,2026-06
Products are good but price are high,4,0,11-06-2026 09:45,"Thank you for your feedback! We’re glad you like our products. We appreciate your input regarding pricing and will definitely keep it in mind as we work on improving value for our customers. - Team Dot & Key
",13-06-2026 08:17,Positive,Dot & Key App,Product Quality,2026-06
nice app,5,0,10-06-2026 19:33,Thank you for taking the time to write this review. Your kind words encourage us greatly. Happy shopping! Regards- Team Dot & Key,11-06-2026 07:11,Positive,Dot & Key App,App Experience,2026-06
good,5,0,10-06-2026 19:16,"Thanks for the 5 star rating. Hope you continue to enjoy reading news on our app. If you have any feedback or suggestions, please write to us at care@dotandkey.com. We would love to hear from you! Regards- Team Dot & Key",11-06-2026 07:12,Positive,Dot & Key App,General,2026-06
very bad experience,1,0,10-06-2026 19:01,"Hi,
Please accept our sincere apology. We are very sorry to know about your experience with us. Please let us know your order number at care@dotandkey.com and we promise to get this resolved quickly. Regards- Team Dot & Key",11-06-2026 07:23,Negative,Dot & Key App,General,2026-06
"Very poor experience with Dot & Key. I placed a prepaid order on 27 May and rescheduled delivery to 6 June after missing the delivery call. However, the order was marked as delivered on 3 June, and neither I nor my family received any parcel. Customer support has only asked me to keep waiting while they check with their logistics partner. It has been over a week with no resolution, and my refund request was also denied. Extremely disappointing service and unhelpful customer support.",1,2,10-06-2026 18:10,"Hi,
Please accept our sincere apology. We are very sorry to know about your experience with us. Please let us know your order number at care@dotandkey.com and we promise to get this resolved quickly. Regards- Team Dot & Key",11-06-2026 07:21,Negative,Dot & Key App,"Delivery & Orders, App Experience, Customer Service",2026-06
dilevery fast,5,0,10-06-2026 15:26,"Thanks for the 5 star rating. Hope you continue to enjoy reading news on our app. If you have any feedback or suggestions, please write to us at care@dotandkey.com. We would love to hear from you! Regards- Team Dot & Key

",11-06-2026 07:12,Positive,Dot & Key App,General,2026-06
good product,1,0,10-06-2026 08:29,"Hi, could you please share a brief description of the problem along with an order ID (if available) at care@dotandkey.com to help us understand your concern. We will look forward to your updated review. If you like the app, could you please give us more stars? Regards- Team Dot & Key",11-06-2026 07:18,Negative,Dot & Key App,Product Quality,2026-06
"worst experience, i placed an order on 25 may 2026 and i m calling in customer support from 1 june 2026 and says the order will deliver in 24 to 48 hours and today they said that they could not deliver the deliver the order on 10 june 2026",1,0,10-06-2026 07:26,"Hi,
Please accept our sincere apology. We are very sorry to know about your experience with us. Please let us know your order number at care@dotandkey.com and we promise to get this resolved quickly. Regards- Team Dot & Key",10-06-2026 07:32,Negative,Dot & Key App,"Delivery & Orders, Customer Service",2026-06
😁,5,0,10-06-2026 06:25,Thank you for taking the time to write this review. Your kind words encourage us greatly. Happy shopping!,10-06-2026 07:08,Positive,Dot & Key App,General,2026-06
"These people are fraud, they say they will give 2 products for 699 or any price related to it, but they do not give that, they give 1 product and then later they say that they had sent 2 and you yourself have lost this product Think 10 times before buying",1,0,10-06-2026 05:45,"Hi,
Please accept our sincere apology. We are very sorry to know about your experience with us. Please let us know your order number at care@dotandkey.com and we promise to get this resolved quickly. Regards- Team Dot & Key",10-06-2026 07:26,Negative,Dot & Key App,Product Quality,2026-06
